Size;Threads;Result
100;2;7968178
100;4;7577388
100;8;8110740
100;16;8113348
200;2;27345553
200;4;27639637
200;8;27118553
200;16;27636114
300;2;64225128
300;4;66709775
300;8;66165799
300;16;66599276
400;2;112044076
400;4;120032606
400;8;114983743
400;16;117698962
500;2;171348720
500;4;176196513
500;8;174968738
500;16;181934096
600;2;266299389
600;4;278156120
600;8;297233112
600;16;292336833
700;2;363671601
700;4;376823918
700;8;410222753
700;16;404668331
800;2;467516702
800;4;491812893
800;8;535190657
800;16;543789350
900;2;591867096
900;4;693908777
900;8;745118920
900;16;793778279
1000;2;806935119
1000;4;808669270
1000;8;920704942
1000;16;974707876
