Size;Threads;Result
101;2;1268734
101;4;1524432
101;8;1950392
101;16;2917736
201;2;2071073
201;4;2268416
201;8;2983220
201;16;3694025
301;2;2768944
301;4;3029501
301;8;3843104
301;16;5371959
401;2;3602294
401;4;4391396
401;8;9360971
401;16;6009452
501;2;3980356
501;4;4563449
501;8;4614794
501;16;6175651
601;2;5278750
601;4;5744007
601;8;6496448
601;16;8382888
701;2;6305289
701;4;6657319
701;8;7224243
701;16;8388437
801;2;7425098
801;4;7580051
801;8;8062040
801;16;9355803
901;2;8284891
901;4;10195355
901;8;12716956
901;16;11225829
1001;2;9966597
1001;4;10836591
1001;8;10984713
1001;16;11662908
